match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
00KrJ1f0,correct,id_match,Liu C.,8KHYNHRA,Govortsova O.,vswbtoVO,Liu C.,8KHYNHRA,Govortsova O.,vswbtoVO,,,,,,,4,6,4,6,,,1:23,0:35,0:48,,"02:00 PM, February 16, 2020",HARD,
00rxGDhT,correct,id_match,Senic N.,GpAVHzWB,Zund S.,plTCm5iA,Senic N.,GpAVHzWB,Zund S.,plTCm5iA,,,,,,,6,4,6,1,,,1:34,1:01,0:33,,"03:10 AM, May 02, 2025",CLAY,
02gK0eGG,correct,id_match,Zakharova A.,pQGynuhR,Glushko L.,Ms0Wvc4A,Zakharova A.,pQGynuhR,Glushko L.,Ms0Wvc4A,,,,,,,5,5,,,,,0:56,0:56,,,"05:00 AM, September 21, 2024",HARD,
02wjqHvp,correct,id_match,Mikaca S.,joPJ8o9T,Pace F.,2iB39Rmo,Mikaca S.,joPJ8o9T,Pace F.,2iB39Rmo,,,,,,,4,6,4,6,,,1:36,0:41,0:55,,"04:00 AM, October 24, 2024",CLAY,
04t1Epl1,correct,id_match,Amirgalieva M.,6sgPcbR9,Norin F.,xtiAaL4c,Amirgalieva M.,6sgPcbR9,Norin F.,xtiAaL4c,,,,,,,3,6,5,7,,,2:30,1:13,1:17,,"03:00 AM, April 03, 2025",CLAY,
06o2FSMh,correct,id_match,Barthel M.,xYVwkuJR,Siskova A.,25RhY8EH,Barthel M.,xYVwkuJR,Siskova A.,25RhY8EH,,,,,9,7,6,1,5,7,7,6,2:02,0:20,0:43,0:59,"06:40 AM, May 01, 2025",CLAY,
08QqvMHb,correct,id_match,Miroshnichenko V.,Of6fyDA8,Payne B.,fmNazA4m,Miroshnichenko V.,Of6fyDA8,Payne B.,fmNazA4m,,,,,,,6,1,6,1,,,1:01,0:36,0:25,,"03:55 PM, July 02, 2025",HARD,
0CGnMUyo,correct,id_match,Kalyakina M.,Qs2iRuRh,Yoruk I.,x4gMgxcQ,Kalyakina M.,Qs2iRuRh,Yoruk I.,x4gMgxcQ,,,,,,,5,7,6,3,3,6,2:56,1:01,0:54,1:01,"03:00 AM, May 31, 2025",HARD,
0EqMoHQ8,correct,id_match,Back D.,WWkxyOw9,Kim D.,Kr3iwjBQ,Back D.,WWkxyOw9,Kim D.,Kr3iwjBQ,8,6,,,,,7,6,6,4,,,2:30,1:26,1:04,,"09:00 PM, October 04, 2024",HARD,
0GGP2vVj,correct,id_match,Simionescu D.,zPRDj5W3,Sarkisova K.,8IbDBIe2,Simionescu D.,zPRDj5W3,Sarkisova K.,8IbDBIe2,,,,,,,6,3,6,3,,,1:32,0:37,0:55,,"03:15 AM, March 12, 2025",CLAY,
0I3Ze6VI,correct,id_match,Kashyap T.,fwGynzUu,Sandberg V.,Wb4iZiBU,Kashyap T.,fwGynzUu,Sandberg V.,Wb4iZiBU,,,,,,,6,3,6,3,,,2:03,1:02,1:01,,"06:15 AM, December 04, 2024",HARD,
0IZKRMue,correct,id_match,Herrmann S.,MHYIXZla,Lavino I.,29g92auB,Herrmann S.,MHYIXZla,Lavino I.,29g92auB,7,1,,,,,7,6,6,4,,,2:25,1:16,1:09,,"03:00 AM, October 19, 2024",CLAY,
0KGC4elT,correct,id_match,Monko V.,YcrwY71g,Jamshidi E.,Uug27dzJ,Monko V.,YcrwY71g,Jamshidi E.,Uug27dzJ,3,7,,,,,6,7,3,6,,,1:44,1:03,0:41,,"10:30 PM, December 24, 2024",CLAY,
0Mi4Tc5U,correct,id_match,Waltert S.,ALs3vJ11,Deichmann K.,44zKPsKi,Waltert S.,ALs3vJ11,Deichmann K.,44zKPsKi,,,,,,,1,6,6,3,4,6,2:26,0:36,0:55,0:55,"01:15 AM, January 22, 2025",HARD,
0OYeESbE,correct,id_match,Yaneva E.,by64sxjr,Kovacicova S.,vwBx0Fa1,Yaneva E.,by64sxjr,Kovacicova S.,vwBx0Fa1,,,,,,,3,6,6,2,6,2,1:54,0:36,0:41,0:37,"04:15 AM, October 02, 2024",HARD,
0QR4MxIU,correct,id_match,Ksandinov S.,MLBueWsj,Yushchenko V.,YgypcD01,Ksandinov S.,MLBueWsj,Yushchenko V.,YgypcD01,,,,,,,1,6,1,6,,,1:00,0:27,0:33,,"04:05 AM, May 22, 2025",CLAY,
0SWKqY2U,correct,id_match,Back D.,WWkxyOw9,Matsuda R.,O6D601Xs,Back D.,WWkxyOw9,Matsuda R.,O6D601Xs,,,,,,,7,5,6,2,,,1:48,1:08,0:40,,"11:15 PM, March 20, 2025",HARD,
0WIMb7hR,correct,id_match,Gae M.,lIUK95pq,Yu J.,KzAP9rU9,Gae M.,lIUK95pq,Yu J.,KzAP9rU9,,,,,,,6,0,6,0,,,0:53,0:28,0:25,,"05:40 AM, June 04, 2025",CLAY,
0b1WJIDF,correct,id_match,Zhu C.,t6QFqpeR,Kovapitukted P.,QazPsMV3,Zhu C.,t6QFqpeR,Kovapitukted P.,QazPsMV3,,,,,,,6,1,6,2,,,1:19,0:35,0:44,,"10:10 PM, June 26, 2025",HARD,
0dQ6GE24,correct,id_match,Banks A.,pWwx5ylk,Hietaranta L.,YHTwEgqm,Banks A.,pWwx5ylk,Hietaranta L.,YHTwEgqm,,,,,,,6,4,6,0,,,1:31,0:51,0:40,,"10:10 AM, October 21, 2025",HARD,
0dpRDVpL,correct,id_match,Pochtovyk K.,dzfKzsi1,Yoruk I.,x4gMgxcQ,Pochtovyk K.,dzfKzsi1,Yoruk I.,x4gMgxcQ,,,,,,,7,5,7,5,,,2:30,1:16,1:14,,"05:10 AM, December 12, 2024",CLAY,
0faEYveE,correct,id_match,Galfi D.,dGbzUtWd,Dagan Fruchtman M.,ruDEFX87,Galfi D.,dGbzUtWd,Dagan Fruchtman M.,ruDEFX87,,,,,,,6,3,6,1,,,1:27,0:57,0:30,,"06:20 AM, December 08, 2020",HARD,
0jBEDPCr,correct,id_match,Fruhvirtova L.,WrhNf3At,Scilipoti S.,Ye6rLaKo,Fruhvirtova L.,WrhNf3At,Scilipoti S.,Ye6rLaKo,,,,,,,6,2,6,1,,,0:57,0:30,0:27,,"07:20 AM, October 24, 2023",HARD,
0l4XlUdt,correct,id_match,Stankovic A.,MVlyno90,Vangelova A.,0fSvZonA,Stankovic A.,MVlyno90,Vangelova A.,0fSvZonA,,,,,,,6,3,6,4,,,1:39,0:33,1:06,,"06:35 AM, August 07, 2024",CLAY,
0nPVqFxH,correct,id_match,Gabric A.,t6VHseFe,Kulikova A.,xEfGPrID,Gabric A.,t6VHseFe,Kulikova A.,xEfGPrID,,,,,,,5,7,0,2,,,1:32,1:00,0:32,,"04:55 AM, February 21, 2025",HARD,
0r3OnGh8,correct,id_match,Haas B.,n7wy4eRB,Shoshyna A.,4KQrNoPH,Haas B.,n7wy4eRB,Shoshyna A.,4KQrNoPH,,,7,5,,,6,4,7,6,,,1:45,0:44,1:01,,"06:15 AM, December 10, 2019",HARD,
0tAt1WSH,correct,id_match,Vlasselaer C.,KU5AAQ7Q,Maloney E.,fNKD5NWP,Vlasselaer C.,KU5AAQ7Q,Maloney E.,fNKD5NWP,,,,,,,6,3,6,4,,,1:40,0:44,0:56,,"06:05 AM, May 21, 2025",HARD,
0vuLRERP,correct,id_match,Maslenkova M.,8W7YwAD4,Mamedova E.,ELsR9m9n,Maslenkova M.,8W7YwAD4,Mamedova E.,ELsR9m9n,,,,,,,2,1,,,,,0:20,0:20,,,"03:40 AM, June 26, 2025",HARD,
0xl2RTjn,correct,id_match,Makarova E.,UeJstJ4j,Vandewinkel H.,Qw6Rciy8,Makarova E.,UeJstJ4j,Vandewinkel H.,Qw6Rciy8,,,,,,,2,6,2,6,,,1:21,0:39,0:42,,"06:10 AM, April 30, 2025",CLAY,
0zoUmvQ1,correct,id_match,Nylander Altelius J.,jXCllvMG,Yesypchuk D.,0zDON03M,Nylander Altelius J.,jXCllvMG,Yesypchuk D.,0zDON03M,,,,,,,2,6,4,6,,,1:25,0:41,0:44,,"09:55 AM, October 30, 2024",HARD,
