match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
QXtAz23H,correct,id_match,Ruzic A.,MuT7l0nb,Havlickova L.,CrhZ6kCa,Ruzic A.,MuT7l0nb,Havlickova L.,CrhZ6kCa,,,,,,,6,1,6,4,,,1:17,0:26,0:51,,"05:10 AM, March 13, 2024",HARD,
QZXb1py9,correct,id_match,Jeanjean L.,EDBO32wT,Grabher J.,QefM3YDk,Jeanjean L.,EDBO32wT,Grabher J.,QefM3YDk,,,,,,,1,2,,,,,0:23,0:23,,,"02:15 PM, October 24, 2024",HARD,
Qa9YJ7NH,correct,id_match,Bains N.,0h94gRG0,Contreras Gomez F.,YHk7aS13,Bains N.,0h94gRG0,Contreras Gomez F.,YHk7aS13,,,,,,,2,6,4,6,,,1:25,0:37,0:48,,"12:15 AM, March 22, 2022",CLAY,
QasAK57k,correct,id_match,Ito A.,fg8WB6JC,Kobori M.,phoJSuB6,Ito A.,fg8WB6JC,Kobori M.,phoJSuB6,,,,,,,6,4,6,0,,,1:05,0:47,0:18,,"10:20 PM, May 13, 2024",HARD,
QcUyr5F7,correct,id_match,Cocciaretto E.,pA0aW3EL,Sramkova R.,WUQY7p9b,Cocciaretto E.,pA0aW3EL,Sramkova R.,WUQY7p9b,,,,,10,8,4,6,6,3,7,6,3:02,0:49,0:59,1:14,"07:15 AM, April 27, 2021",CLAY,
QeXo6DJk,correct,id_match,Romeo C.,f5imJP5j,Sleeth L.,CYXOQlTh,Romeo C.,f5imJP5j,Sleeth L.,CYXOQlTh,,,,,,,3,6,6,3,7,5,3:59,1:04,1:05,1:50,"12:05 PM, October 17, 2023",HARD,
QgbzPvBO,correct,id_match,Makarova E.,UeJstJ4j,Janicijevic S.,IaIL1xKN,Makarova E.,UeJstJ4j,Janicijevic S.,IaIL1xKN,,,,,,,6,3,6,0,,,1:13,0:42,0:31,,"04:30 AM, April 09, 2025",CLAY,
Qk8T7RFD,correct,id_match,Brace C.,ILn43dk2,Svendsen J. C.,Y3DpoZ8a,Brace C.,ILn43dk2,Svendsen J. C.,Y3DpoZ8a,,,7,3,4,7,5,7,7,6,6,7,3:48,0:56,1:32,1:20,"02:45 PM, October 25, 2023",HARD,
Qm3iqwnk,correct,id_match,Gorgodze E.,vPEmPARA,Zaja A.,ltDUufxf,Gorgodze E.,vPEmPARA,Zaja A.,ltDUufxf,,,,,,,6,1,3,6,6,3,1:46,0:25,0:38,0:43,"07:45 PM, January 21, 2019",HARD,
QoURQOHN,correct,id_match,Knutson G.,bscuUrLj,Krueger A.,O81eud9p,Knutson G.,bscuUrLj,Krueger A.,O81eud9p,,,,,,,6,2,7,5,,,1:35,0:30,1:05,,"11:05 AM, February 02, 2023",HARD,
QqHlpqdK,correct,id_match,Xu A.,2yzx7VGg,Grey S. B.,v7n71YDK,Xu A.,2yzx7VGg,Grey S. B.,v7n71YDK,,,,,,,1,6,3,6,,,1:20,0:36,0:44,,"12:25 PM, October 26, 2022",HARD,
