match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
00USn3Li,correct,id_match,Starodubtseva Y.,GlqMuuhi,Hibino N.,n5XviZ0t,Starodubtseva Y.,GlqMuuhi,Hibino N.,n5XviZ0t,,,7,2,,,6,4,7,6,,,,,,,"08:30 PM, August 12, 2024",HARD,
02ZHQIJU,correct,id_match,Aikawa M.,8brlAqYt,Blackbeard K.,6gKjPoDN,Aikawa M.,8brlAqYt,Blackbeard K.,6gKjPoDN,,,,,,,6,2,6,2,,,1:21,0:36,0:45,,"05:40 AM, January 29, 2025",HARD,
02uMp7F8,correct,id_match,Ebeling Koning L.,OELmvom0,Leykina P.,dQQk2vDg,Ebeling Koning L.,OELmvom0,Leykina P.,dQQk2vDg,,,,,,,6,4,6,2,,,1:28,0:51,0:37,,"11:50 AM, November 27, 2024",HARD,
04U4Jaa5,correct,id_match,Saito S.,63CooUWo,Zhao C.,Qk09uuRk,Saito S.,63CooUWo,Zhao C.,Qk09uuRk,,,,,,,6,0,5,2,,,1:06,0:28,0:38,,"12:25 AM, November 21, 2023",HARD,
0698Mo7C,correct,id_match,Shimizu A.,pIlfhnfl,Ohashi R.,hMTUOw8R,Shimizu A.,pIlfhnfl,Ohashi R.,hMTUOw8R,,,,,,,6,2,6,2,,,1:22,0:37,0:45,,"12:50 AM, April 04, 2025",HARD,
06sv8PK0,correct,id_match,Back D.,WWkxyOw9,Nikolenko T.,UuQT35cn,Back D.,WWkxyOw9,Nikolenko T.,UuQT35cn,,,,,,,6,1,6,2,,,1:16,0:34,0:42,,"02:20 AM, July 31, 2024",HARD,
08rdZppa,correct,id_match,Melnikova M.,pEa6LCHl,Dodin O.,8fh5VQUc,Melnikova M.,pEa6LCHl,Dodin O.,8fh5VQUc,,,,,,,6,4,5,7,2,6,2:20,0:49,0:45,0:46,"05:10 AM, October 19, 2023",HARD,
0EZUSzCr,correct,id_match,Ivanova I.,2ewQiEWd,Kardava Z.,6q3cMdjI,Ivanova I.,2ewQiEWd,Kardava Z.,6q3cMdjI,,,,,7,2,4,6,6,3,7,6,2:05,0:38,0:35,0:52,"11:15 AM, February 12, 2025",HARD,
0EwzhXUp,correct,id_match,Sequeira M.,xWlUZTWt,Zabolotnaia E.,fXlM23Bd,Sequeira M.,xWlUZTWt,Zabolotnaia E.,fXlM23Bd,,,,,,,4,6,4,6,,,1:46,0:52,0:54,,"08:10 AM, November 06, 2024",HARD,
0GYIhfZh,correct,id_match,Alvarez Brandon M. S.,v9d6Ogal,Bohrer Martins C.,pdQzhmyt,Alvarez Brandon M. S.,v9d6Ogal,Bohrer Martins C.,pdQzhmyt,,,,,,,2,6,1,6,,,1:13,0:42,0:31,,"10:45 AM, October 16, 2024",HARD,
0IL8OYvj,correct,id_match,Friedsam A-L.,2gjsegvD,Navarro E.,WxLdKcAs,Friedsam A-L.,2gjsegvD,Navarro E.,WxLdKcAs,7,4,,,,,7,6,4,6,3,6,2:48,1:08,0:48,0:52,"10:05 AM, November 04, 2020",CLAY,
0IkLoZSH,correct,id_match,Grabher J.,QefM3YDk,Feistel G.,27crpAq9,Grabher J.,QefM3YDk,Feistel G.,27crpAq9,,,,,,,6,0,4,2,,,1:22,0:29,0:53,,"10:45 AM, September 24, 2025",CLAY,
0MTEKQ9s,correct,id_match,Smith A.,KUkoziQu,Gailis R.,IcZUTneo,Smith A.,KUkoziQu,Gailis R.,IcZUTneo,,,,,,,4,6,6,2,4,6,2:07,0:39,0:42,0:46,"10:10 AM, August 06, 2025",HARD,
0O2nFKlT,correct,id_match,Dols S.,Stkbax5S,Yushchenko V.,YgypcD01,Dols S.,Stkbax5S,Yushchenko V.,YgypcD01,,,,,,,6,2,6,3,,,1:36,0:41,0:55,,"07:55 AM, April 08, 2025",CLAY,
0OzhaHDd,correct,id_match,Moyano L.,4IOOXPnG,Sousa Salazar N.,8IR4PTGa,Moyano L.,4IOOXPnG,Sousa Salazar N.,8IR4PTGa,,,,,,,7,5,2,6,6,4,3:20,1:21,0:48,1:11,"10:35 AM, December 05, 2024",CLAY,
0SQ9Z0EF,correct,id_match,Teso K. D.,rmOrM5WF,Hageman M.,IslgSQvo,Teso K. D.,rmOrM5WF,Hageman M.,IslgSQvo,7,2,,,,,7,6,7,5,,,2:11,1:15,0:56,,"09:45 AM, February 26, 2025",HARD,
0Uglkkje,correct,id_match,Poj N.,6mRHf7xE,Castro Z. M.,zHgAjJn2,Poj N.,6mRHf7xE,Castro Z. M.,zHgAjJn2,,,,,,,0,6,2,6,,,0:57,0:20,0:37,,"01:40 PM, October 22, 2024",HARD,
0WY4Bq1K,correct,id_match,Osuigwe W.,GEAmUZ6D,Carpenter L.,WOdqcwa6,Osuigwe W.,GEAmUZ6D,Carpenter L.,WOdqcwa6,,,,,,,6,1,6,1,,,0:50,0:27,0:23,,"05:00 PM, October 23, 2024",HARD,
